region,latitude,longitude,rainfall,sst,wind_speed,pressure,sst_above_threshold,sst_danger_zone,pressure_anomaly,low_pressure_flag,high_wind_flag,rainfall_intensity,heavy_rainfall_flag,risk_score,risk_level,cyclone_probability,distance_from_equator,bay_of_bengel_flag,arabian_sea_flag,sst_norm,wind_norm,pressure_norm,rainfall_norm
Andhra Pradesh,14.0,81.5,0.41508338,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,2,0,3,Moderate,0.3,14.0,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.4872130964494802
Andhra Pradesh,14.0,82.0,0.51955557,28.682933807373047,4.496466159820557,1013.0745849609376,1,1,0.08799391526451927,0,0,2,1,4,Moderate,0.4,14.0,1,0,0.6565477496481431,0.6989131042724166,0.6639545475598935,0.6118836423147349
Andhra Pradesh,14.5,79.0,0.22537501,28.62800407409668,2.858910083770752,1012.56396484375,1,1,-0.4226262019230944,0,0,1,0,3,Moderate,0.3,14.5,0,0,0.6425372034270597,0.4314194387477573,0.5347918049744484,0.26082705014272883
Andhra Pradesh,14.5,79.5,0.19100001,28.62800407409668,2.194749355316162,1012.94384765625,1,1,-0.04274338942309441,0,0,1,0,3,Moderate,0.3,14.5,0,0,0.6425372034270597,0.3229292378012324,0.630884191999506,0.21980608548105063
Andhra Pradesh,14.5,80.0,0.16116668,28.62800407409668,2.566413164138794,1013.1802368164062,1,1,0.1936457707331556,0,0,1,0,3,Moderate,0.3,14.5,0,0,0.6425372034270597,0.3836402668883354,0.6906794707507989,0.18420486437064526
Andhra Pradesh,14.5,80.5,0.11706251,28.62800407409668,3.428123712539673,1013.2254638671876,1,1,0.23887282151451927,0,0,1,0,3,Moderate,0.3,14.5,1,0,0.6425372034270597,0.5244000958702194,0.7021197758256297,0.13157371967238635
Andhra Pradesh,14.5,81.0,0.22079168,28.62800407409668,3.836989402770996,1013.26171875,1,1,0.2751277043269056,0,0,1,0,3,Moderate,0.3,14.5,1,0,0.6425372034270597,0.5911880268527552,0.7112905466952802,0.2553575921656289
Andhra Pradesh,14.5,81.5,0.37775,28.62800407409668,2.487310488254596,1012.9865910456731,1,1,0.0,0,0,2,0,3,Moderate,0.3,14.5,1,0,0.6425372034270597,0.3707188988603684,0.6416962482022507,0.44266178701876
Andhra Pradesh,14.5,82.0,0.39737502,28.62800407409668,4.150249004364014,1013.2679443359376,1,1,0.2813532902645193,0,0,2,0,3,Moderate,0.3,14.5,1,0,0.6425372034270597,0.6423587686163259,0.7128653255315166,0.4660810525287158
Andhra Pradesh,15.0,79.0,0.24380557,28.62800407409668,3.0055575370788574,1012.629638671875,1,1,-0.3569523737980944,0,0,1,0,3,Moderate,0.3,15.0,0,0,0.6425372034270597,0.45537419999163936,0.5514041777956185,0.2828209221559635
Andhra Pradesh,15.0,79.5,0.20804167,28.62800407409668,2.3775312900543213,1013.0156860351562,1,1,0.029094989483155587,0,0,1,0,3,Moderate,0.3,15.0,0,0,0.6425372034270597,0.35278654188375363,0.6490559046486853,0.2401425315213804
Andhra Pradesh,15.0,80.0,0.16808334,28.62800407409668,2.7683980464935303,1013.177978515625,1,1,0.1913874699519056,0,0,1,0,3,Moderate,0.3,15.0,0,0,0.6425372034270597,0.4166343593361303,0.6901082274474688,0.19245877172880796
Andhra Pradesh,15.0,80.5,0.12604167,28.62800407409668,3.406203269958496,1013.2799072265624,1,1,0.2933161808892919,0,0,1,0,3,Moderate,0.3,15.0,1,0,0.6425372034270597,0.5208194065602654,0.7158913711382893,0.14228888491024977
