region,latitude,longitude,rainfall,sst,wind_speed,pressure,data_period
Andhra Pradesh,18.0,82.0,0.33083335,,0.8168428540229797,1013.0521850585938,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,79.0,0.41304168,,1.9314714670181274,1012.7134399414062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,79.5,0.38743752,,1.3262144327163696,1012.85107421875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,80.0,0.40904167,,0.9213486313819885,1012.8438110351562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,80.5,0.43268752,,0.9132512807846069,1012.826904296875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,81.0,0.42358336,,1.2352828979492188,1013.2017822265625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,18.5,81.5,0.43875003,,,,{'rainfall': '2025-09'}
Andhra Pradesh,18.5,82.0,0.43433335,,1.4575294256210327,1012.96923828125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,79.0,0.46986115,,1.887906789779663,1012.724365234375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,79.5,0.46037504,,1.2962243556976318,1012.7945556640625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,80.0,0.45891666,,0.8776687979698181,1012.7647094726562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,80.5,0.4577917,,1.0026781558990479,1012.8318481445312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,81.0,0.46044445,,1.8577548265457153,1013.2672119140625,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Andhra Pradesh,19.0,81.5,0.4371667,,,,{'rainfall': '2025-09'}
Andhra Pradesh,19.0,82.0,0.40363893,,2.0802831649780273,1013.5747680664062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.0,68.0,0.19619446,27.6016845703125,3.4959022998809814,1013.93310546875,"{'rainfall': '2025-09', 'sst': '2026-03', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.0,68.5,0.17941667,,,,{'rainfall': '2025-09'}
Gujarat,20.0,69.0,0.15802778,,3.621760845184326,1013.736083984375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.0,69.5,0.18300001,,3.609419107437134,1013.5415649414062,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.0,70.0,0.2056389,27.58179473876953,3.424509286880493,1013.345703125,"{'rainfall': '2025-09', 'sst': '2026-03', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.0,70.5,0.3174167,,3.161440849304199,1013.1612548828125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.0,71.0,0.3651389,,3.0932090282440186,1012.9444580078125,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.0,71.5,0.32433334,,,,{'rainfall': '2025-09'}
Gujarat,20.5,68.0,0.171875,,3.37501859664917,1014.0076293945312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.5,68.5,0.1886875,,,,{'rainfall': '2025-09'}
Gujarat,20.5,69.0,0.21275002,,3.524203062057495,1013.7965698242188,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.5,69.5,0.27518752,,3.524904727935791,1013.5586547851562,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.5,70.0,0.23737502,,3.1635401248931885,1013.344482421875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.5,70.5,0.24531251,,2.5707876682281494,1013.075927734375,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.5,71.0,0.33491668,,2.283665895462036,1012.9207763671875,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,20.5,71.5,0.3088125,,,,{'rainfall': '2025-09'}
Gujarat,20.5,72.0,0.4325,,2.6006712913513184,1012.8069458007812,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.0,68.0,0.3007778,,3.3485589027404785,1014.0504760742188,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.0,68.5,0.21700001,,,,{'rainfall': '2025-09'}
Gujarat,21.0,69.0,0.31355557,,3.548758029937744,1013.8549194335938,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.0,69.5,0.31033334,,3.4040274620056152,1013.6464233398438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.0,70.0,0.21808334,,2.5193071365356445,1013.3718872070312,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.0,70.5,0.28100002,,1.6463046073913574,1013.0823364257812,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.0,71.0,0.30486113,,1.3633933067321777,1012.8182983398438,"{'rainfall': '2025-09', 'wind_speed': '2026-02', 'pressure': '2026-02'}"
Gujarat,21.0,71.5,0.301625,,,,{'rainfall': '2025-09'}
